text,aspect,sentiment
Very easy to input info . Easy to compare different quotes and types of cover available. Direct link to insurer with info forwarded.,app.performance,1
"To be honest, the shoes look really good. I watched it for a long time before, but I didn't shoot it. This time there is a discount, and I took it decisively.",pricing.discounts,1
"To be honest, the shoes look really good. I watched it for a long time before, but I didn't shoot it. This time there is a discount, and I took it decisively.",brand.satisfaction,1
"Brilliant having the app So easy, great benefits  I just love it",experience.ease-of-use,1
"Brilliant having the app So easy, great benefits  I just love it",app.performance,1
"Terrible service, if I could, I would not give it a star, in addition to my order being divided into two, it took a month to reach my hands, the package they use is a post and they delivered my package in poor condition, with the broken wrapper. Nothing recommendable, it is better to buy in stores like [BRAND] or even [BRAND].",delivery.speed,-1
"Terrible service, if I could, I would not give it a star, in addition to my order being divided into two, it took a month to reach my hands, the package they use is a post and they delivered my package in poor condition, with the broken wrapper. Nothing recommendable, it is better to buy in stores like [BRAND] or even [BRAND].",brand.satisfaction,-1
"Fantastic App, great choice at fabulous prices. The quality of products is exceptional. Absolute love the layout and ease of ordering.",app.performance,1
"Fantastic App, great choice at fabulous prices. The quality of products is exceptional. Absolute love the layout and ease of ordering.",brand.satisfaction,1
"Fantastic App, great choice at fabulous prices. The quality of products is exceptional. Absolute love the layout and ease of ordering.",pricing.value,1
"It was quiet at night which is great for sleeping. The staff were ready to do whatever they could to make us comfortable. Breakfasts were very good and staff were very helpful and kind, going as far as arranging all the needed things I recommend this place",support.attitude,1
"It was quiet at night which is great for sleeping. The staff were ready to do whatever they could to make us comfortable. Breakfasts were very good and staff were very helpful and kind, going as far as arranging all the needed things I recommend this place",brand.satisfaction,1
Not very informative. You have to guess anything other than exchanging currencies,app.performance,-1
Not very informative. You have to guess anything other than exchanging currencies,experience.ease-of-use,-1
"I am very happy with shopping in this network, very good quality products at an affordable price",app.performance,1
"I am very happy with shopping in this network, very good quality products at an affordable price",brand.satisfaction,1
"I am very happy with shopping in this network, very good quality products at an affordable price",pricing.value,1
The best department store app thus far,brand.satisfaction,1
The best department store app thus far,brand.competitor,1
"Fast shipment, but one of the three ordered items is damaged - for return.",delivery.speed,1
"Fast shipment, but one of the three ordered items is damaged - for return.",brand.satisfaction,-1
Last update seems to have finally sorted annoying issues with the App,app.performance,1
Really wonderful site very helpful saved my money and time. Thanks,app.performance,1
Really wonderful site very helpful saved my money and time. Thanks,pricing.value,1
Reminded me and came up with the goods,support.attitude,1
I love this app on phone but using it on iPad makes me angry.,app.performance,-1
"In addition to two crashes, I often can't execute the transaction. There is an instruction to click here to refresh, and then click the same to not trade.",app.performance,-1
Shipping faster. Goods corresponded exactly to the online description. No defects. Super satisfied,brand.satisfaction,1
Shipping faster. Goods corresponded exactly to the online description. No defects. Super satisfied,delivery.speed,1
Purchasing my product was both easy & hassle free - very pleased with the service,experience.ease-of-use,1
Purchasing my product was both easy & hassle free - very pleased with the service,brand.satisfaction,1
Excellent Graphic User Interface 👏,app.performance,1
I found a great ball.,brand.satisfaction,1
"Great functionality, great app, no issues, fully recommended. Loving the metal card.",experience.ease-of-use,1
"Great functionality, great app, no issues, fully recommended. Loving the metal card.",app.performance,1
In a crisis true colors show.  [BRAND].com's idea of customer service is lip service and run-around.  Excuse after excuse.  No communication whatsoever just robotic lip service and run-around.  After the last Orders are delivered the account is CLOSED and staying so.  [BRAND].com gets a one star review just for the fact that they drive themselves insane and can't help it.,support.attitude,-1
In a crisis true colors show.  [BRAND].com's idea of customer service is lip service and run-around.  Excuse after excuse.  No communication whatsoever just robotic lip service and run-around.  After the last Orders are delivered the account is CLOSED and staying so.  [BRAND].com gets a one star review just for the fact that they drive themselves insane and can't help it.,account.access,-1
"Amazing support from [BRAND] Quick and easy, the advisor was really helpful and spoke very well English. well happy with the service provided would definitely recommend 10 out of 10 :-) Nawaz fazal Newport!",support.attitude,1
"Amazing support from [BRAND] Quick and easy, the advisor was really helpful and spoke very well English. well happy with the service provided would definitely recommend 10 out of 10 :-) Nawaz fazal Newport!",experience.ease-of-use,1
"Amazing support from [BRAND] Quick and easy, the advisor was really helpful and spoke very well English. well happy with the service provided would definitely recommend 10 out of 10 :-) Nawaz fazal Newport!",brand.satisfaction,1
"Amazing support from [BRAND] Quick and easy, the advisor was really helpful and spoke very well English. well happy with the service provided would definitely recommend 10 out of 10 :-) Nawaz fazal Newport!",delivery.speed,1
I love [BRAND] and the app. Thanks [BRAND].,app.performance,1
I love [BRAND] and the app. Thanks [BRAND].,brand.satisfaction,1
"The John Lewis app has had the option to add your loyalty card to apple wallet for a long time, why can’t I do this with the [BRAND] one?",app.performance,-1
"The John Lewis app has had the option to add your loyalty card to apple wallet for a long time, why can’t I do this with the [BRAND] one?",experience.ease-of-use,-1
Won't update with the information on the website.,app.performance,-1
Xq in my [BRAND] application the car does not move if it arrives but you can not see the car moving just let me know when it arrives that it could be?,app.performance,-1
I love sneakers. So its Good with me,brand.satisfaction,1
always give me problems never turn round,brand.satisfaction,-1
"Everything is very fast, everything came up!) Thank you very much)",brand.satisfaction,1
"Everything is very fast, everything came up!) Thank you very much)",delivery.speed,1
Been going on 2 weeks still waiting on my Derrick Rose,delivery.speed,-1
it is confuseing but got there in the end,experience.ease-of-use,-1
"I am happy with my iPhone 5, I am able to do all my online banking and a wide range of financial transactions but unfortunately [BRAND] have decided to withdraw support for iOS 10.3.4 which is the latest version the phone supports. It  is a pathetic approach, there is no good reason not to support it apart from idleness or the illusion that the  [BRAND] account is more important than a bank account.",app.performance,-1
"I am happy with my iPhone 5, I am able to do all my online banking and a wide range of financial transactions but unfortunately [BRAND] have decided to withdraw support for iOS 10.3.4 which is the latest version the phone supports. It  is a pathetic approach, there is no good reason not to support it apart from idleness or the illusion that the  [BRAND] account is more important than a bank account.",experience.ease-of-use,-1
Great. I have all my payment info stored. Very easy and convenient,experience.ease-of-use,1
Great. I have all my payment info stored. Very easy and convenient,brand.satisfaction,1
How easy was this great app. Xx,experience.ease-of-use,1
How easy was this great app. Xx,app.performance,1
I have enjoyed the app a great deal.,app.performance,1
I have enjoyed the app a great deal.,brand.satisfaction,1
I have enjoyed the app a great deal.,pricing.value,1
[BRAND] was very easy to use and got great prices so much that we renewed our car insurance policies:),experience.ease-of-use,1
[BRAND] was very easy to use and got great prices so much that we renewed our car insurance policies:),pricing.value,1
Love fast easy website and service,app.performance,1
Love fast easy website and service,delivery.speed,1
"Not a shop goes by where I don’t encounter a problem with this app. It is forever freezing to the point I have to close it down and pray it has saved the shop I have been doing for the past half hour. It stops when I try and add items to my basket, and has problems when trying to process a payment, and then forces me to the website to attempted complete the transaction. Not really an enjoyable or stress free way to shop!!",app.performance,-1
"Not a shop goes by where I don’t encounter a problem with this app. It is forever freezing to the point I have to close it down and pray it has saved the shop I have been doing for the past half hour. It stops when I try and add items to my basket, and has problems when trying to process a payment, and then forces me to the website to attempted complete the transaction. Not really an enjoyable or stress free way to shop!!",experience.ease-of-use,-1
"Trying to do an online shop that should take half hour turns into a chore. The favourites section takes forever to load and once you’ve chosen something it will start you from the beginning again!! [BRAND] tech guys, sort this out please",app.performance,-1
"Trying to do an online shop that should take half hour turns into a chore. The favourites section takes forever to load and once you’ve chosen something it will start you from the beginning again!! [BRAND] tech guys, sort this out please",delivery.speed,-1
I’m happy with [BRAND]. Good prices website quite easy just need to remember if it’s something specific say no substitute and the delivery guys are lovely,experience.ease-of-use,1
I’m happy with [BRAND]. Good prices website quite easy just need to remember if it’s something specific say no substitute and the delivery guys are lovely,app.performance,1
I’m happy with [BRAND]. Good prices website quite easy just need to remember if it’s something specific say no substitute and the delivery guys are lovely,brand.satisfaction,1
I’m happy with [BRAND]. Good prices website quite easy just need to remember if it’s something specific say no substitute and the delivery guys are lovely,pricing.value,1
"Couldn’t reach [BRAND] care  , I haven’t receive my items even though the parches has placed long time ago since 19-4-2020 and I haven’t received it yes and it was been paid also !!!",support.attitude,-1
"Couldn’t reach [BRAND] care  , I haven’t receive my items even though the parches has placed long time ago since 19-4-2020 and I haven’t received it yes and it was been paid also !!!",delivery.speed,-1
"Awesome services, easy to use. Great for travelling. I paid subscription for theetal card and must say I am impressed. The card looks great, also using it aboard could not be easier.",experience.ease-of-use,1
"Awesome services, easy to use. Great for travelling. I paid subscription for theetal card and must say I am impressed. The card looks great, also using it aboard could not be easier.",brand.satisfaction,1
So easy to use the app.  Enjoying keeping up with my finances now.,app.performance,1
It does not show the traffic,app.performance,-1
So user friendly! Love it!,app.performance,1
"Switching Supplier today was made super easy and a pleasant experience due to Mark. He made sure that I got a great rate that I was satisfied with, and that I understood all the jargon that comes with it. Extremely happy with the service he provided today.",support.attitude,1
"Switching Supplier today was made super easy and a pleasant experience due to Mark. He made sure that I got a great rate that I was satisfied with, and that I understood all the jargon that comes with it. Extremely happy with the service he provided today.",experience.ease-of-use,1
"Switching Supplier today was made super easy and a pleasant experience due to Mark. He made sure that I got a great rate that I was satisfied with, and that I understood all the jargon that comes with it. Extremely happy with the service he provided today.",brand.satisfaction,1
All the perfect sizes and products. And it has arrived in just two days!,brand.satisfaction,1
All the perfect sizes and products. And it has arrived in just two days!,delivery.speed,1
Nice UI and great functionality.,app.performance,1
I always use it to make reservations; inside and outside the country.,brand.satisfaction,1
"Very useful, especially when you want to try new locations to you and want to understand if it's worth it. Also great as an outlet point when something really is wrong",brand.satisfaction,1
Wish they can release iPadOS version.,app.performance,-1
Always has the lowest car insurance quotes and good rewards.,pricing.discounts,1
Always has the lowest car insurance quotes and good rewards.,pricing.value,1
Always has the lowest car insurance quotes and good rewards.,brand.competitor,1
Generally in happy with the app and don't have complained.,app.performance,1
Good application .. although I think it could be better ..,app.performance,1
Once you've used this site you will receive spam emails for ever!  I have used their unsubscribe function and written to customer services on multiple occasions asking to be removed from their database.  They promise to remove my details but the emails keep coming.  I have now reported them to the Information Commissioner's Office.,app.performance,-1
I’m a long time and loyal customer of [BRAND]. I ordered a package worth $260.25. I got a notification on my phone saying it was delivered and went to check but nothing was found. I live in a location where I can see the delivery guy and the car but this time there was no car neither the guy. I called them 3 times and they refused to refund me keep telling me they delivered. They are contracting these third party small delivery companies who I’m skeptical of being reputable. I am disputing charges with my CC company.,support.attitude,-1
I’m a long time and loyal customer of [BRAND]. I ordered a package worth $260.25. I got a notification on my phone saying it was delivered and went to check but nothing was found. I live in a location where I can see the delivery guy and the car but this time there was no car neither the guy. I called them 3 times and they refused to refund me keep telling me they delivered. They are contracting these third party small delivery companies who I’m skeptical of being reputable. I am disputing charges with my CC company.,delivery.speed,-1
The automated bed and breakfast service which allows clients to move shares from their dealing accounts to their ISA accounts has been suspended until further notice.The excuse is that many of HL staff are home working so I was advised to sell and reinvest the proceeds in.my ISA account.This suggestion misses the point of a bed and breakfast transaction which is to maintain ownership of the share and  avoid  CGT liability. I question  also why staff are being allowed to be less productive as a result of home working.This is another example of poor customer service or rather a lack of it on HL' s part whilst charging more than any of its rivals.,support.attitude,-1
The automated bed and breakfast service which allows clients to move shares from their dealing accounts to their ISA accounts has been suspended until further notice.The excuse is that many of HL staff are home working so I was advised to sell and reinvest the proceeds in.my ISA account.This suggestion misses the point of a bed and breakfast transaction which is to maintain ownership of the share and  avoid  CGT liability. I question  also why staff are being allowed to be less productive as a result of home working.This is another example of poor customer service or rather a lack of it on HL' s part whilst charging more than any of its rivals.,pricing.value,-1
The automated bed and breakfast service which allows clients to move shares from their dealing accounts to their ISA accounts has been suspended until further notice.The excuse is that many of HL staff are home working so I was advised to sell and reinvest the proceeds in.my ISA account.This suggestion misses the point of a bed and breakfast transaction which is to maintain ownership of the share and  avoid  CGT liability. I question  also why staff are being allowed to be less productive as a result of home working.This is another example of poor customer service or rather a lack of it on HL' s part whilst charging more than any of its rivals.,brand.competitor,-1
The automated bed and breakfast service which allows clients to move shares from their dealing accounts to their ISA accounts has been suspended until further notice.The excuse is that many of HL staff are home working so I was advised to sell and reinvest the proceeds in.my ISA account.This suggestion misses the point of a bed and breakfast transaction which is to maintain ownership of the share and  avoid  CGT liability. I question  also why staff are being allowed to be less productive as a result of home working.This is another example of poor customer service or rather a lack of it on HL' s part whilst charging more than any of its rivals.,brand.satisfaction,-1
"Can only use it for getting the codes and seeing times or what's on etc. Cannot book as won't let you book seats unless you go for VIP seats, so bit of a swizz, so you miss out on decent seats :0(",app.performance,-1
meets the basic needs of the service. obviously a good data connection improves the location. But in general it corresponds,brand.satisfaction,1
App is sooo easy to use. Especially favourites,experience.ease-of-use,1
App is sooo easy to use. Especially favourites,app.performance,1
"When doing a review, I cannot attach more than one photo for technical issues with the app. I was advised to delete my review and add a new one, however, I still cannot add more than one photo, so the problem persists and it is frustrating. My review refers to certain photos, so the review is useless without photos.",app.performance,-1
Very friendly staff and lovley location,support.attitude,1
Easy to use and great discounts,experience.ease-of-use,1
Easy to use and great discounts,pricing.value,1
"Great app, gives some basic information on the stocks, allows limit and stop loss, easy to track profits.",experience.ease-of-use,1
"Great app, gives some basic information on the stocks, allows limit and stop loss, easy to track profits.",app.performance,1
All of my information came up automatically from last year which saved so much time. I saved nearly £200.00 on my existing insurer. Happy days.,pricing.value,1
The worst trading app. Suddenly not able to log in for closing my open positions. That's the scamming method [BRAND] does use to make you loose your money. DON'T DOWNLOAD!,account.access,-1
The worst trading app. Suddenly not able to log in for closing my open positions. That's the scamming method [BRAND] does use to make you loose your money. DON'T DOWNLOAD!,app.performance,-1
The worst trading app. Suddenly not able to log in for closing my open positions. That's the scamming method [BRAND] does use to make you loose your money. DON'T DOWNLOAD!,brand.competitor,-1
"I believe they’re coming, but at the moment, there are no facilities to DRIP or create automatic regular buys.   Also, once you open a CFD account, you cannot close it, without closing your Invest and ISA accounts too. Funny that 🤔",account.access,-1
"I believe they’re coming, but at the moment, there are no facilities to DRIP or create automatic regular buys.   Also, once you open a CFD account, you cannot close it, without closing your Invest and ISA accounts too. Funny that 🤔",brand.satisfaction,-1
Thanks for the helpful stats and tools. And thank you for helping me learn. Best wishes!!  :),brand.satisfaction,1
We saved a lot of money by moving to the [BRAND] choice and very happy with them,brand.satisfaction,1
We saved a lot of money by moving to the [BRAND] choice and very happy with them,pricing.value,1
Called to switch energy supplier and got through to Courtney. She spoke clearly and was patient as I got my information together. Courtney was very calm and made the process seem quick and hassle-free. I'm all set up now and very grateful to Courtney. A real asset to this business ♥️,support.attitude,1
Called to switch energy supplier and got through to Courtney. She spoke clearly and was patient as I got my information together. Courtney was very calm and made the process seem quick and hassle-free. I'm all set up now and very grateful to Courtney. A real asset to this business ♥️,experience.ease-of-use,1
Happy to find the last minute hotel,brand.satisfaction,1
"I recently received a email to say my account was ready to set up (was on a waitlist in New Zealand waiting for it to launch here) but when I went to do so, it just went to a screen telling me to invite friends and wouldn't actually let me set my account up at all. I contacted [BRAND] via email to ask what the problem was, was told to uninstall/reinstall, then if there were any more problems to contact them via the app....which I still can't get in to! Very disappointing.",support.attitude,-1
"I recently received a email to say my account was ready to set up (was on a waitlist in New Zealand waiting for it to launch here) but when I went to do so, it just went to a screen telling me to invite friends and wouldn't actually let me set my account up at all. I contacted [BRAND] via email to ask what the problem was, was told to uninstall/reinstall, then if there were any more problems to contact them via the app....which I still can't get in to! Very disappointing.",app.performance,-1
"I recently received a email to say my account was ready to set up (was on a waitlist in New Zealand waiting for it to launch here) but when I went to do so, it just went to a screen telling me to invite friends and wouldn't actually let me set my account up at all. I contacted [BRAND] via email to ask what the problem was, was told to uninstall/reinstall, then if there were any more problems to contact them via the app....which I still can't get in to! Very disappointing.",brand.satisfaction,-1
Lot's of choices for cut price meals here. App says some restaurants need  no prior warning that you are using MM. This is is not the case as we found  out at Frankie and Bennys. Always tell the server when ordering that you  are using MM.,app.performance,-1
Best way to shop great sales,pricing.discounts,1
Best way to shop great sales,brand.competitor,1
Use abraod with no hussle perfect service,experience.ease-of-use,1
Use abraod with no hussle perfect service,brand.satisfaction,1
I always get great deals.😀,pricing.value,1
"It was really easy and fast to set depart and arrive destinations. Had trouble trying to call the driver though, call cut. But I liked the practicity anyway.",experience.ease-of-use,1
"It was really easy and fast to set depart and arrive destinations. Had trouble trying to call the driver though, call cut. But I liked the practicity anyway.",delivery.speed,1
"I have always been someone who tended to stick with the same company but since retirement I decided to try the [BRAND] comparison site to save some money. It is really quite easy once you have entered your details all the results are shown on the screen and you can read and decide which is the best deal. When you have made your choice you are directed to the relevant webpage to finalise and pay. I renewed two car policies and a house policy, saving myself £180, so it was worth the effort. I will do the same next year.",experience.ease-of-use,1
"I have always been someone who tended to stick with the same company but since retirement I decided to try the [BRAND] comparison site to save some money. It is really quite easy once you have entered your details all the results are shown on the screen and you can read and decide which is the best deal. When you have made your choice you are directed to the relevant webpage to finalise and pay. I renewed two car policies and a house policy, saving myself £180, so it was worth the effort. I will do the same next year.",app.performance,1
"I have always been someone who tended to stick with the same company but since retirement I decided to try the [BRAND] comparison site to save some money. It is really quite easy once you have entered your details all the results are shown on the screen and you can read and decide which is the best deal. When you have made your choice you are directed to the relevant webpage to finalise and pay. I renewed two car policies and a house policy, saving myself £180, so it was worth the effort. I will do the same next year.",pricing.value,1
Why is the draining my battery even when I'm not using it? I don't want it running in the background - I just want it to run when I launch it.,app.performance,-1
a here does not arrive more or take the order,experience.ease-of-use,-1
a here does not arrive more or take the order,delivery.speed,-1
as a public i am very happy. save my money and time .thanks to ubsr,pricing.value,1
"I have an account with [BRAND] who advised me by email about a possible better tariff available from the same company I was already with.  I have used this service  successfully before. I had a little difficulty completing the form finding the meter reference numbers etc.,  so I called the helpline and spoke to a lovely gentleman called Mark Moore.  He walked and talked me through the whole process and I changed my tariff with [BRAND] and saved ¬£387 a year and because I was still with the same company did not have to pay the ¬£70 exit fee.  I cannot recommend the service or [BRAND] too highly.  The  most  worthwhile hours work I‚Äôve spent for a long time.",brand.satisfaction,1
"I have an account with [BRAND] who advised me by email about a possible better tariff available from the same company I was already with.  I have used this service  successfully before. I had a little difficulty completing the form finding the meter reference numbers etc.,  so I called the helpline and spoke to a lovely gentleman called Mark Moore.  He walked and talked me through the whole process and I changed my tariff with [BRAND] and saved ¬£387 a year and because I was still with the same company did not have to pay the ¬£70 exit fee.  I cannot recommend the service or [BRAND] too highly.  The  most  worthwhile hours work I‚Äôve spent for a long time.",pricing.value,1
"I have an account with [BRAND] who advised me by email about a possible better tariff available from the same company I was already with.  I have used this service  successfully before. I had a little difficulty completing the form finding the meter reference numbers etc.,  so I called the helpline and spoke to a lovely gentleman called Mark Moore.  He walked and talked me through the whole process and I changed my tariff with [BRAND] and saved ¬£387 a year and because I was still with the same company did not have to pay the ¬£70 exit fee.  I cannot recommend the service or [BRAND] too highly.  The  most  worthwhile hours work I‚Äôve spent for a long time.",support.attitude,1
"It is so easy to use this app to do the grocery shop, saves time and hassle of going out to the supermarket.",experience.ease-of-use,1
"It is so easy to use this app to do the grocery shop, saves time and hassle of going out to the supermarket.",app.performance,1
"Found a decent quote, better than elsewhere. Easy peasy, lemon squeezy.",experience.ease-of-use,1
"Found a decent quote, better than elsewhere. Easy peasy, lemon squeezy.",pricing.value,1
"Found a decent quote, better than elsewhere. Easy peasy, lemon squeezy.",brand.competitor,1
Pq needs to have the name cleaned to ask for an [BRAND] ... Unnecessary it has seen awful,brand.satisfaction,-1
"Impeccable. For my travels I use exclusively my card [BRAND], there is no photo",experience.ease-of-use,1
"Impeccable. For my travels I use exclusively my card [BRAND], there is no photo",brand.satisfaction,1
M urgy and I never got the rate,support.attitude,-1
M urgy and I never got the rate,pricing.value,-1
Since 10 sending messages and no one answers .....,support.attitude,-1
"To Travel and Find the Support Needed, Excellent. Practical, Simple, Intuitive. Very good.",support.attitude,1
"To Travel and Find the Support Needed, Excellent. Practical, Simple, Intuitive. Very good.",experience.ease-of-use,1
"To Travel and Find the Support Needed, Excellent. Practical, Simple, Intuitive. Very good.",brand.satisfaction,1
They always on time and my items aren’t missed up. They are the truth when it comes to getting it fast! I love [BRAND],brand.satisfaction,1
They always on time and my items aren’t missed up. They are the truth when it comes to getting it fast! I love [BRAND],delivery.speed,1
Love the customer service and the app is so user friendly!,support.attitude,1
Love the customer service and the app is so user friendly!,experience.ease-of-use,1
Love the customer service and the app is so user friendly!,app.performance,1
Any potential savings from [BRAND] unbalanced quotes are not worth the hours of wasted time waiting on the phone or the advised LIVE? chat of these energy companies whilst trying to sort claimed unreceived final readings and overdue refunds.,support.attitude,-1
Any potential savings from [BRAND] unbalanced quotes are not worth the hours of wasted time waiting on the phone or the advised LIVE? chat of these energy companies whilst trying to sort claimed unreceived final readings and overdue refunds.,pricing.value,-1
Any potential savings from [BRAND] unbalanced quotes are not worth the hours of wasted time waiting on the phone or the advised LIVE? chat of these energy companies whilst trying to sort claimed unreceived final readings and overdue refunds.,delivery.speed,-1
"Delivery is very fast! I ordered sneakers and bags and this and that is just class! The bag pleased me, but I was just delighted with the sneakers, soft and light despite the massive appearance! Thank!",brand.satisfaction,1
"Delivery is very fast! I ordered sneakers and bags and this and that is just class! The bag pleased me, but I was just delighted with the sneakers, soft and light despite the massive appearance! Thank!",delivery.speed,1
Quick results and good value for money,pricing.value,1
Quick results and good value for money,delivery.speed,1
"I ordered 3 rubber hot water bottles from a seller on [BRAND] Marketplace, an order that was fulfilled by [BRAND] ('fulfilled by [BRAND]' just means that the seller stores their goods in one of [BRAND]'s warehouses, and [BRAND] is responsible for sending out the order and arranging any returns). Instead of rubber, I was sent 3 thermoplastic hot water bottles instead, which I am not happy about - I don't buy plastic bottles. I tried to initiate a returns process on the same day the bottles were delivered, only for the website to tell me that this order is not eligible for a return (no reason given). I tried contacting [BRAND], but they are routing all contacts through their chatbot at the moment, and the only reply that keeps giving is that this order is no longer eligible for a return - as if I was tardy in applying for one - even though it was the same day the order was delivered. I have tried to contact [BRAND] about 6 or 7 times, with no success. I know because of being a law graduate that [BRAND] is breaking consumer protection legislation in this country by refusing to provide me with a remedy - they have sent me the wrong goods, goods that are other than described - and now they are refusing to allow me to return the incorrect items: no return, no refund - no refund, no remedy - this is illegal - and at the moment, it seems I have no way of getting through to them to let them know. My health is disabled with several chronic illnesses that leave me unable to work, and although this order wasn't costly I can't afford to waste money on incorrect items that [BRAND] is refusing to allow me to return. Also, the hot water bottles were purchased to help me with my health (one of the chronic illnesses is extremely painful, and the warmth from the bottles helps with the pain). Unfortunately, I am on my last rubber bottle at the moment and it looks like I am going to have to go elsewhere to purchase a spare bottle to use when this one gives out (I use them 24 hours a day, every day of the year, so they don't always last long). I would caution anyone against ordering from [BRAND] at the moment - unless it is from a seller on [BRAND] Marketplace that fulfils their own orders - as they don't seem in the slightest bit interested in providing any customer service whatsoever - so if you have any problem with your order, you may not receive a remedy - and I have found it impossible to get through to their customer service department (it's usually not easy, but doesn't seem in any way feasible at the moment). Caveat emptor - buyer beware!",support.attitude,-1
"I ordered 3 rubber hot water bottles from a seller on [BRAND] Marketplace, an order that was fulfilled by [BRAND] ('fulfilled by [BRAND]' just means that the seller stores their goods in one of [BRAND]'s warehouses, and [BRAND] is responsible for sending out the order and arranging any returns). Instead of rubber, I was sent 3 thermoplastic hot water bottles instead, which I am not happy about - I don't buy plastic bottles. I tried to initiate a returns process on the same day the bottles were delivered, only for the website to tell me that this order is not eligible for a return (no reason given). I tried contacting [BRAND], but they are routing all contacts through their chatbot at the moment, and the only reply that keeps giving is that this order is no longer eligible for a return - as if I was tardy in applying for one - even though it was the same day the order was delivered. I have tried to contact [BRAND] about 6 or 7 times, with no success. I know because of being a law graduate that [BRAND] is breaking consumer protection legislation in this country by refusing to provide me with a remedy - they have sent me the wrong goods, goods that are other than described - and now they are refusing to allow me to return the incorrect items: no return, no refund - no refund, no remedy - this is illegal - and at the moment, it seems I have no way of getting through to them to let them know. My health is disabled with several chronic illnesses that leave me unable to work, and although this order wasn't costly I can't afford to waste money on incorrect items that [BRAND] is refusing to allow me to return. Also, the hot water bottles were purchased to help me with my health (one of the chronic illnesses is extremely painful, and the warmth from the bottles helps with the pain). Unfortunately, I am on my last rubber bottle at the moment and it looks like I am going to have to go elsewhere to purchase a spare bottle to use when this one gives out (I use them 24 hours a day, every day of the year, so they don't always last long). I would caution anyone against ordering from [BRAND] at the moment - unless it is from a seller on [BRAND] Marketplace that fulfils their own orders - as they don't seem in the slightest bit interested in providing any customer service whatsoever - so if you have any problem with your order, you may not receive a remedy - and I have found it impossible to get through to their customer service department (it's usually not easy, but doesn't seem in any way feasible at the moment). Caveat emptor - buyer beware!",app.performance,-1
