text,aspect,sentiment
"Great for browsing your favourites, easy navigate. Great product range. Quick order and delivery service. Only one tiny thing was I couldn't access my profile easily on the app, there is no response when i click on it, but only a small functionality issue. My pocket is a lot lighter as a result of his app LOVE IT",ease of use,1
"Great for browsing your favourites, easy navigate. Great product range. Quick order and delivery service. Only one tiny thing was I couldn't access my profile easily on the app, there is no response when i click on it, but only a small functionality issue. My pocket is a lot lighter as a result of his app LOVE IT",app performance,1
"Great for browsing your favourites, easy navigate. Great product range. Quick order and delivery service. Only one tiny thing was I couldn't access my profile easily on the app, there is no response when i click on it, but only a small functionality issue. My pocket is a lot lighter as a result of his app LOVE IT",delivery speed,1
Poor and lazy customer service. Product came almost a week late after having next day delivery meaning I'm not having to pay extra for postage as part of the order was a present. Not impressed after spending a lot of money over the years on the app.,support attitude,0
Poor and lazy customer service. Product came almost a week late after having next day delivery meaning I'm not having to pay extra for postage as part of the order was a present. Not impressed after spending a lot of money over the years on the app.,app performance,0
Poor and lazy customer service. Product came almost a week late after having next day delivery meaning I'm not having to pay extra for postage as part of the order was a present. Not impressed after spending a lot of money over the years on the app.,pricing value,0
Poor and lazy customer service. Product came almost a week late after having next day delivery meaning I'm not having to pay extra for postage as part of the order was a present. Not impressed after spending a lot of money over the years on the app.,delivery speed,0
"Considering I got routed to a review as I was struggling to find restaurants in Lincoln NH, and the app will only recognize locations in MA, I'm not feeling kindly. I should not have to think of devious ways to circumvent the system when I am researching another state. So, today the app is worthless. Tomorrow, I may be able to escape MA, and venture out.",app performance,0
"I'm registered correctly as male and everything worked well, it was sending me the relevant discounts. From January I'm repeatedly sent offers for lingerie or jeans for females. Has now become a waste of my time",account access,0
"I'm registered correctly as male and everything worked well, it was sending me the relevant discounts. From January I'm repeatedly sent offers for lingerie or jeans for females. Has now become a waste of my time",app performance,0
"I'm registered correctly as male and everything worked well, it was sending me the relevant discounts. From January I'm repeatedly sent offers for lingerie or jeans for females. Has now become a waste of my time",pricing discounts,0
"It's ok, a great way to keep your spending in check, the vaults idea is great, let's you save a bit everytime you spend. The currency transactions meant to be fee free although i have not checked that yet. One let down, some websites will not take prepaid cards. Netflix for example and so far 3 other shops i checked. Shame as i wanted to move all my spending to that card. This does not make the premium subscription worth to me so will be back to basic.",brand satisfaction,1
"It's ok, a great way to keep your spending in check, the vaults idea is great, let's you save a bit everytime you spend. The currency transactions meant to be fee free although i have not checked that yet. One let down, some websites will not take prepaid cards. Netflix for example and so far 3 other shops i checked. Shame as i wanted to move all my spending to that card. This does not make the premium subscription worth to me so will be back to basic.",app performance,0
"It's ok, a great way to keep your spending in check, the vaults idea is great, let's you save a bit everytime you spend. The currency transactions meant to be fee free although i have not checked that yet. One let down, some websites will not take prepaid cards. Netflix for example and so far 3 other shops i checked. Shame as i wanted to move all my spending to that card. This does not make the premium subscription worth to me so will be back to basic.",ease of use,0
"It's ok, a great way to keep your spending in check, the vaults idea is great, let's you save a bit everytime you spend. The currency transactions meant to be fee free although i have not checked that yet. One let down, some websites will not take prepaid cards. Netflix for example and so far 3 other shops i checked. Shame as i wanted to move all my spending to that card. This does not make the premium subscription worth to me so will be back to basic.",pricing value,1
I keep on trying to open my booking details since 2 days before but the network having technical issue. So disappointed because I really need it for my booking details reference.,app performance,0
I keep on trying to open my booking details since 2 days before but the network having technical issue. So disappointed because I really need it for my booking details reference.,ease of use,0
I keep on trying to open my booking details since 2 days before but the network having technical issue. So disappointed because I really need it for my booking details reference.,brand satisfaction,0
Great sending money from 1 account to another without any hassle.,ease of use,1
An sms to activate my account on my phone never comes through and the app has no option to give feedback regarding this situation. There is only an option to resend an sms. There must have been other means of confirmation implemented.,support attitude,0
An sms to activate my account on my phone never comes through and the app has no option to give feedback regarding this situation. There is only an option to resend an sms. There must have been other means of confirmation implemented.,account access,0
An sms to activate my account on my phone never comes through and the app has no option to give feedback regarding this situation. There is only an option to resend an sms. There must have been other means of confirmation implemented.,app performance,0
Great for no transaction fees,ease of use,1
Great for no transaction fees,brand satisfaction,1
Great for no transaction fees,pricing value,1
"Easy to use, love the virtual card feature",ease of use,1
"Spoke with Jackie this morning. Switched energy supplier. She was efficient, friendly and professional. V impressed. So... as long as the switch goes ahead seamlessly in 2 or 3 weeks very happy.",support attitude,1
"Spoke with Jackie this morning. Switched energy supplier. She was efficient, friendly and professional. V impressed. So... as long as the switch goes ahead seamlessly in 2 or 3 weeks very happy.",brand satisfaction,1
I tried several times to use my PayPal account and it constantly froze up. Very frustrating because I then had to go get my wallet and use a credit card.,app performance,0
I tried several times to use my PayPal account and it constantly froze up. Very frustrating because I then had to go get my wallet and use a credit card.,ease of use,0
The app is great for fast and easy check out's. It also keeps track of any rewards you may have.,pricing discounts,1
The app is great for fast and easy check out's. It also keeps track of any rewards you may have.,ease of use,1
The app is great for fast and easy check out's. It also keeps track of any rewards you may have.,app performance,1
The app is great for fast and easy check out's. It also keeps track of any rewards you may have.,delivery speed,1
"Can't even run the app on my Galaxy S9+ with latest OS. It just crashes. Tried removing and reinstalling it a few time, no luck.0",app performance,0
"Great for starters, especially for being free. Anyone complaining should hire a broker instead.",ease of use,1
"Great for starters, especially for being free. Anyone complaining should hire a broker instead.",pricing value,1
Crashes during important trading hours,app performance,0
"Good afternoon, I received the order No. 40003057230 on the next day, thanks for the promptness)). I would like to change the cropped jacket 1244/101 to the size XS. Tell me how can this be done?",delivery speed,1
A dog friendly filter is needed when looking for restaurants and pubs please!!!!!!!!,app performance,0
I'm giving this app/card combo 5 stars despite me getting left in the lurch occasionally with random declines. Overall it's extremely cost effective for using abroad and has saved me a small fortune over the years.,ease of use,1
I'm giving this app/card combo 5 stars despite me getting left in the lurch occasionally with random declines. Overall it's extremely cost effective for using abroad and has saved me a small fortune over the years.,app performance,1
I'm giving this app/card combo 5 stars despite me getting left in the lurch occasionally with random declines. Overall it's extremely cost effective for using abroad and has saved me a small fortune over the years.,brand satisfaction,1
I'm giving this app/card combo 5 stars despite me getting left in the lurch occasionally with random declines. Overall it's extremely cost effective for using abroad and has saved me a small fortune over the years.,pricing value,1
Very fast shipping and perfect clothes,brand satisfaction,1
Very fast shipping and perfect clothes,delivery speed,1
"Difficulty in driver availability. The times I tried to use the app for test question, I was never able to do it.",app performance,0
"Difficulty in driver availability. The times I tried to use the app for test question, I was never able to do it.",brand satisfaction,0
"Gave me a good selection of insurances, so had a few to choice from",app performance,1
Terrible especially with the chat box if you are stuck that's it,support attitude,0
Terrible especially with the chat box if you are stuck that's it,app performance,0
Easy and intuitive Good offers,ease of use,1
Easy and intuitive Good offers,pricing value,1
The search option where you're looking for a cinema does not work,app performance,0
There is no way to contact customer support. Simply a disaster.,support attitude,0
Excellent alternative for traditional bank products. Must have for people who travel worldwide frequently.,brand satisfaction,1
Excellent alternative for traditional bank products. Must have for people who travel worldwide frequently.,competitor comparison,1
Fast practice always helps me find what I'm looking for in seconds,app performance,1
Fast practice always helps me find what I'm looking for in seconds,delivery speed,1
"It's a very reliable site. If you want to make a trip to a fulfilling content, there are many contents that are worth reference by all means.",app performance,1
Friendly and easy to use.,ease of use,1
Great app. I love this app.,app performance,1
In a few minutes you helped me to find a cheaper insurance quote than I had been given. well done all.,brand satisfaction,1
In a few minutes you helped me to find a cheaper insurance quote than I had been given. well done all.,pricing value,1
In a few minutes you helped me to find a cheaper insurance quote than I had been given. well done all.,delivery speed,1
This is a great app with real time news. Kudos to the dev team.,app performance,1
"Very busy when offers on line. Put items into my bag but they didn't go in, when I retried they were out of stock. This happened to most of the items I wanted. Oh and can't find a name that's not taken!!!!",app performance,0
"Very busy when offers on line. Put items into my bag but they didn't go in, when I retried they were out of stock. This happened to most of the items I wanted. Oh and can't find a name that's not taken!!!!",ease of use,0
"As for the delivery, it's convenient, but I don't agree why should I pay for the delivery of 399 rubles?! ??!",pricing value,0
"A cool application, very useful, but it would be nice to advertise it, as there are not enough reviews and places with ratings. Success in development",app performance,1
"Registered via app. Will not allow me to save my account options, ask me to log back in every time.... Not a very appy type of app!!!!!",account access,0
"Registered via app. Will not allow me to save my account options, ask me to log back in every time.... Not a very appy type of app!!!!!",app performance,0
"Registered via app. Will not allow me to save my account options, ask me to log back in every time.... Not a very appy type of app!!!!!",brand satisfaction,0
"I am missing details of the booking, the app does not make much sense, since you have to print out an e-ticket anyway. But nicely done, overview available, OK.",app performance,0
Looking to travel in the near future. I was having a hard time navigating and finding everything I was looking for so I called the customer service line to ask a bunch of silly questions and a guy named Devin (ext 711597457) was a great help. I asked him about everything and he was very quick to respond with great answers and was very patient. I haven't decided what we were going to do yet for our vacation yet but I have decided that what ever I do will be with the help of Devin. I hope that guy gets everything he wants and needs with this company. It also didn't hurt that my name was Devon so we got off to a good start.,support attitude,1
"Free, effective and intuitive. Perfect",ease of use,1
"Free, effective and intuitive. Perfect",pricing value,1
Good for the choice but a journey full of pitfalls!,brand satisfaction,1
always in enjoying myself shopping with you,brand satisfaction,1
I spoke to a gentleman named Alex. He was very knowledgeable and gave me all the details I needed to know. He also gave me all the assurance about the Energy Suppliers. Very simple and stress free process comparing the energy prices and switching over the Supplier. Thank you.,support attitude,1
I spoke to a gentleman named Alex. He was very knowledgeable and gave me all the details I needed to know. He also gave me all the assurance about the Energy Suppliers. Very simple and stress free process comparing the energy prices and switching over the Supplier. Thank you.,ease of use,1
Recently switched tariffs and supplier for my gas and electric and these guys were great. Karl Gardner in particular was super helpful from start to finish. He really provided a fantastic level of service and would certainly recommend these guys to my friends and family based on that. Not many places left that provide genuinely great service but Karl certainly provided that.,support attitude,1
Recently switched tariffs and supplier for my gas and electric and these guys were great. Karl Gardner in particular was super helpful from start to finish. He really provided a fantastic level of service and would certainly recommend these guys to my friends and family based on that. Not many places left that provide genuinely great service but Karl certainly provided that.,brand satisfaction,1
Navigation needs alot of work with adding menus etc. Registering needs to be authenticated for some reason so unable to make a purchase. pointless app really.,app performance,0
Navigation needs alot of work with adding menus etc. Registering needs to be authenticated for some reason so unable to make a purchase. pointless app really.,ease of use,0
I like to grow up Good price and good design,app performance,1
I like to grow up Good price and good design,pricing value,1
It doesn't bring you back to the previous page. You have to scroll down,app performance,0
"And get Alexa compatible like other supermarkets! Other than that, no criticisms at all!",brand satisfaction,1
"And get Alexa compatible like other supermarkets! Other than that, no criticisms at all!",competitor comparison,0
Best retail app out there,app performance,1
Best retail app out there,competitor comparison,1
So quick and easy to switch energy supplier. Looks as if I will save a lot of money.,ease of use,1
So quick and easy to switch energy supplier. Looks as if I will save a lot of money.,pricing value,1
So quick and easy to switch energy supplier. Looks as if I will save a lot of money.,delivery speed,1
My question was answered quickly and politely.,support attitude,1
They value our time and urgency,support attitude,1
"I ordered a blue midi dress and it's beautiful :) The quality is very good, the dress fits perfectly and the shipping was very fast.",brand satisfaction,1
"I ordered a blue midi dress and it's beautiful :) The quality is very good, the dress fits perfectly and the shipping was very fast.",delivery speed,1
"Excellent app, service and offers !!!",app performance,1
"Excellent app, service and offers !!!",brand satisfaction,1
"Excellent app, service and offers !!!",pricing value,1
Can't buy stuff through this app.,app performance,0
Love this App!! I use it all the time and has never failed me!,app performance,1
Love this App!! I use it all the time and has never failed me!,brand satisfaction,1
"I did the insurance Inside this website. I founded a good price but unfortunately the insurance companies reduced the price but grow up the fees if you leave them before the expire date. Brightside is one of this. If you used the monthly payments and you want leave them before the expire date (for example if you sold the car) they will be apply full amount of fees plus another £60 and they deducted the last amount (£60) from the full amount. In few words a FRAUD. That is a example that you found in the contract: ""If you decide to cancel your insurance policy outside of the cooling off period, the insurer will reclaim a proportion of commission back from us. We will apply a fee equivalent to that amount and deduct it from any returned premium from the insurer, or add it to any outstanding balance due on your premium finance."" This is what I signed and unfortunately I will be pay. Read carefully before signing.",app performance,0
"I did the insurance Inside this website. I founded a good price but unfortunately the insurance companies reduced the price but grow up the fees if you leave them before the expire date. Brightside is one of this. If you used the monthly payments and you want leave them before the expire date (for example if you sold the car) they will be apply full amount of fees plus another £60 and they deducted the last amount (£60) from the full amount. In few words a FRAUD. That is a example that you found in the contract: ""If you decide to cancel your insurance policy outside of the cooling off period, the insurer will reclaim a proportion of commission back from us. We will apply a fee equivalent to that amount and deduct it from any returned premium from the insurer, or add it to any outstanding balance due on your premium finance."" This is what I signed and unfortunately I will be pay. Read carefully before signing.",pricing value,0
"I did the insurance Inside this website. I founded a good price but unfortunately the insurance companies reduced the price but grow up the fees if you leave them before the expire date. Brightside is one of this. If you used the monthly payments and you want leave them before the expire date (for example if you sold the car) they will be apply full amount of fees plus another £60 and they deducted the last amount (£60) from the full amount. In few words a FRAUD. That is a example that you found in the contract: ""If you decide to cancel your insurance policy outside of the cooling off period, the insurer will reclaim a proportion of commission back from us. We will apply a fee equivalent to that amount and deduct it from any returned premium from the insurer, or add it to any outstanding balance due on your premium finance."" This is what I signed and unfortunately I will be pay. Read carefully before signing.",brand satisfaction,0
Good deals and customer service is always helpful anytime I have issues,support attitude,1
Good deals and customer service is always helpful anytime I have issues,pricing value,1
"ceep, new, free shipping, what could be better",brand satisfaction,1
"ceep, new, free shipping, what could be better",pricing value,1
"ceep, new, free shipping, what could be better",delivery speed,1
"Brilliant app, my go to for sending payments.",ease of use,1
"Brilliant app, my go to for sending payments.",app performance,1
Like using the app but it could be improved. Adding the option to link coupons on the payment screen without having to copy and paste the code would save time.,app performance,1
Like using the app but it could be improved. Adding the option to link coupons on the payment screen without having to copy and paste the code would save time.,delivery speed,0
Like using the app but it could be improved. Adding the option to link coupons on the payment screen without having to copy and paste the code would save time.,pricing discounts,0
"Rubbish Results..i enquired about wrong listing..Support staff provide cock and bull story and ended my chat... Hello there, how can I help? i search car insurance quote...but very disappointed with search results top 3 does not work...1st changes price on top of what has been listed ..2nd on listing..after going through all the details and entering payment details. REJECTED Is this the standard of searches you provide? i have been using your company but very disappointed with listing...WASTE OF MY TIME Thank you for getting in touch, quotes created using our website are only valid at the time they are created. If you come back to us at a later date and retrieve a previous quote, they may refresh their price to give the latest most up to date price which may result in an increase. It might be worth speaking to your chosen provider to see if they would be willing to honour your previous price. nope i am using the list which i just searched. 5 minutes ago why price changes after switching to insurance company website? I'm afraid that's not the case, I can see from your account that the quote was originally created on 22/09/2019, and was most recently edited on 29/09/2019, as such this may not display the most up to date results. i am deleting and will do search again. lets see Thank you, if you need any further assistance, be sure to give us a shout.Chat Ended by Agent TRIED again same result. Do they want feedback?",support attitude,0
"Rubbish Results..i enquired about wrong listing..Support staff provide cock and bull story and ended my chat... Hello there, how can I help? i search car insurance quote...but very disappointed with search results top 3 does not work...1st changes price on top of what has been listed ..2nd on listing..after going through all the details and entering payment details. REJECTED Is this the standard of searches you provide? i have been using your company but very disappointed with listing...WASTE OF MY TIME Thank you for getting in touch, quotes created using our website are only valid at the time they are created. If you come back to us at a later date and retrieve a previous quote, they may refresh their price to give the latest most up to date price which may result in an increase. It might be worth speaking to your chosen provider to see if they would be willing to honour your previous price. nope i am using the list which i just searched. 5 minutes ago why price changes after switching to insurance company website? I'm afraid that's not the case, I can see from your account that the quote was originally created on 22/09/2019, and was most recently edited on 29/09/2019, as such this may not display the most up to date results. i am deleting and will do search again. lets see Thank you, if you need any further assistance, be sure to give us a shout.Chat Ended by Agent TRIED again same result. Do they want feedback?",app performance,0
"Rubbish Results..i enquired about wrong listing..Support staff provide cock and bull story and ended my chat... Hello there, how can I help? i search car insurance quote...but very disappointed with search results top 3 does not work...1st changes price on top of what has been listed ..2nd on listing..after going through all the details and entering payment details. REJECTED Is this the standard of searches you provide? i have been using your company but very disappointed with listing...WASTE OF MY TIME Thank you for getting in touch, quotes created using our website are only valid at the time they are created. If you come back to us at a later date and retrieve a previous quote, they may refresh their price to give the latest most up to date price which may result in an increase. It might be worth speaking to your chosen provider to see if they would be willing to honour your previous price. nope i am using the list which i just searched. 5 minutes ago why price changes after switching to insurance company website? I'm afraid that's not the case, I can see from your account that the quote was originally created on 22/09/2019, and was most recently edited on 29/09/2019, as such this may not display the most up to date results. i am deleting and will do search again. lets see Thank you, if you need any further assistance, be sure to give us a shout.Chat Ended by Agent TRIED again same result. Do they want feedback?",pricing value,0
having trouble with password to checkout,account access,0
having trouble with password to checkout,app performance,0
"Extremely helpful customer service as usual, staff are attentive, polite and patient. Thank you for Cam for being very helpful this morning.",support attitude,1
"Best Ever, Great sales & service...",brand satisfaction,1
"Best Ever, Great sales & service...",competitor comparison,1
"The app is slow and always crashes. I never get a full order, yet when I visit the shop the products are in stock! Delivery people are always polite and helpful though",support attitude,1
"The app is slow and always crashes. I never get a full order, yet when I visit the shop the products are in stock! Delivery people are always polite and helpful though",app performance,0
"The app is slow and always crashes. I never get a full order, yet when I visit the shop the products are in stock! Delivery people are always polite and helpful though",delivery speed,0
"Best Card Ever. Foreign exchange at the best rate. No hidden fees, easier way of sending and receiving money from loved ones. Far better than ordinary bank cards. Highly recommended.",ease of use,1
